itemsName,itemsQuantity,itemsPrice,storeLocation,customerGender,customerAge,customerEmail,customerSatisfaction,saleDate,purchaseMethod,couponUsed
binder,7,11.05,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
binder,5,20.94,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
backpack,5,61.16,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
notepad,3,29.81,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
printer paper,5,31.19,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
pens,1,47.12,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
notepad,2,36.71,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
pens,3,69.28,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
notepad,1,14.05,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
envelopes,8,21.95,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
notepad,5,5.45,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
notepad,4,8.27,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
backpack,2,87.13,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
envelopes,9,11.79,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
pens,4,42.7,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
binder,10,23.71,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
laptop,5,584.56,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
printer paper,7,46.71,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
binder,10,21.22,Austin,M,71,man@bob.mz,3,2014-03-31T16:02:06.624Z,Online,False
envelopes,7,16.97,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
notepad,5,11.92,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
laptop,4,565.42,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
notepad,3,12.83,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
binder,8,11.82,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
envelopes,5,24.57,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
pens,5,36.13,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
binder,9,14.44,New York,M,26,rapifoozi@viupoen.bb,5,2017-03-21T01:54:26.657Z,In store,True
pens,2,26.64,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
laptop,1,1217.84,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
notepad,2,19.45,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
notepad,4,22.33,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
binder,7,16.7,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
binder,9,22.77,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
notepad,4,21.36,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
pens,2,69.88,Denver,M,57,ohaguwu@nufub.gi,3,2014-08-18T04:37:26.849Z,In store,False
pens,1,75.21,Seattle,F,34,keigutip@vaw.tc,4,2015-07-25T07:20:29.804Z,Phone,False
backpack,5,61.11,Seattle,F,34,keigutip@vaw.tc,4,2015-07-25T07:20:29.804Z,Phone,False
envelopes,8,17.2,Seattle,F,34,keigutip@vaw.tc,4,2015-07-25T07:20:29.804Z,Phone,False
notepad,1,37.41,Seattle,F,34,keigutip@vaw.tc,4,2015-07-25T07:20:29.804Z,Phone,False
printer paper,7,43.63,Seattle,F,34,keigutip@vaw.tc,4,2015-07-25T07:20:29.804Z,Phone,False
envelopes,5,21.46,London,F,49,merto@betosiv.pm,3,2015-07-22T02:45:20.727Z,In store,False
notepad,1,21.82,London,F,49,merto@betosiv.pm,3,2015-07-22T02:45:20.727Z,In store,False
notepad,3,34.43,London,F,49,merto@betosiv.pm,3,2015-07-22T02:45:20.727Z,In store,False
notepad,1,24.11,London,F,49,merto@betosiv.pm,3,2015-07-22T02:45:20.727Z,In store,False
backpack,2,187.16,San Diego,F,59,la@cevam.tj,4,2014-08-18T10:42:13.935Z,In store,False
printer paper,10,20.61,San Diego,F,59,la@cevam.tj,4,2014-08-18T10:42:13.935Z,In store,False
notepad,5,23.75,San Diego,F,59,la@cevam.tj,4,2014-08-18T10:42:13.935Z,In store,False
envelopes,5,9.44,San Diego,F,59,la@cevam.tj,4,2014-08-18T10:42:13.935Z,In store,False
laptop,3,644.76,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
notepad,3,24.4,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
envelopes,2,9.22,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
backpack,2,83.27,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
pens,3,66.73,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
notepad,5,18.87,Seattle,M,55,eja@ko.es,2,2015-11-15T18:08:12.414Z,Online,False
printer paper,10,14.96,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
laptop,1,1223.33,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
notepad,3,18.09,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
notepad,3,25.15,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
pens,2,47.36,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
notepad,5,11.5,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
binder,6,23.24,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
envelopes,8,5.68,San Diego,F,36,gul@waija.nz,5,2017-08-21T20:38:34.618Z,Online,False
laptop,2,806.84,Denver,M,28,fapra@rutes.tj,3,2017-12-08T21:40:34.527Z,Phone,False
envelopes,7,10.63,Denver,M,28,fapra@rutes.tj,3,2017-12-08T21:40:34.527Z,Phone,False
printer paper,10,38.37,Denver,M,28,fapra@rutes.tj,3,2017-12-08T21:40:34.527Z,Phone,False
envelopes,5,6.5,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
notepad,3,8.11,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
backpack,4,150.18,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
notepad,1,5.65,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
pens,5,28.24,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
binder,6,14.64,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
notepad,5,11.91,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
laptop,3,896.67,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
binder,4,15.56,New York,F,53,se@nacwev.an,4,2013-08-21T09:36:07.188Z,Phone,False
notepad,3,9.91,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
pens,4,22.01,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
backpack,2,57.14,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
binder,7,21.92,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
binder,9,20.12,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
laptop,3,1541.76,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
printer paper,6,45.86,London,F,50,velo@nukav.fr,5,2017-11-12T20:30:15.045Z,In store,False
laptop,4,862.74,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
envelopes,8,5.04,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
binder,7,11.61,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
notepad,5,5.83,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
binder,2,18.72,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
backpack,1,116.93,San Diego,F,40,elusekjiv@kuajmag.as,4,2016-08-15T04:05:03.298Z,In store,True
printer paper,1,17.3,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
binder,3,23.36,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
envelopes,10,21.53,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
pens,4,57.02,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
notepad,4,14.04,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
notepad,1,32.2,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
binder,5,20.2,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
pens,4,37.37,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
notepad,1,34.61,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
backpack,3,102.7,New York,F,39,beecho@wic.be,3,2015-11-16T22:02:34.415Z,In store,False
binder,7,16.82,Denver,M,30,ziguh@lu.bf,4,2015-11-12T12:06:07.052Z,In store,False
backpack,5,142.9,Denver,M,30,ziguh@lu.bf,4,2015-11-12T12:06:07.052Z,In store,False
envelopes,8,9.05,Denver,M,30,ziguh@lu.bf,4,2015-11-12T12:06:07.052Z,In store,False
printer paper,3,20.97,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
binder,9,22.96,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
notepad,1,19.32,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
backpack,5,55.55,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
pens,3,71.57,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
pens,1,57.58,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
binder,8,24.18,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
laptop,1,910.07,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
envelopes,6,16.13,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
envelopes,10,12.73,Denver,F,31,fimpig@an.is,5,2015-07-27T20:05:46.464Z,In store,False
notepad,5,25.83,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
printer paper,2,14.6,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
pens,1,7.49,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
backpack,4,149.09,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
laptop,1,898.84,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
binder,2,21.01,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
notepad,4,21.06,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
envelopes,8,21.48,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
notepad,3,39.38,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
binder,4,13.07,San Diego,M,61,ucikosusu@sid.uz,1,2013-03-20T16:36:39.112Z,Online,False
binder,7,20.08,London,M,58,jalpo@ha.mq,5,2016-10-04T07:04:44.122Z,In store,False
envelopes,3,22.9,London,M,58,jalpo@ha.mq,5,2016-10-04T07:04:44.122Z,In store,False
envelopes,3,12.33,London,M,58,jalpo@ha.mq,5,2016-10-04T07:04:44.122Z,In store,False
laptop,3,1376.45,London,M,58,jalpo@ha.mq,5,2016-10-04T07:04:44.122Z,In store,False
notepad,5,28.1,London,M,58,jalpo@ha.mq,5,2016-10-04T07:04:44.122Z,In store,False
printer paper,9,47.95,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
notepad,4,35.27,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
laptop,1,542.81,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
notepad,5,13.76,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
backpack,3,95.65,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
envelopes,9,13.77,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
envelopes,4,5.87,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
binder,7,20.68,London,F,27,zu@bainku.za,5,2015-05-15T13:43:24.561Z,Online,False
printer paper,7,30.6,Denver,M,48,avwa@ud.pt,3,2017-02-09T12:08:51.353Z,In store,False
laptop,2,1397.24,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
pens,5,41.65,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
pens,5,66.41,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
notepad,3,20.69,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
backpack,1,54.49,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
notepad,2,5.42,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
binder,4,24.61,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
binder,9,10.31,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
envelopes,10,10.76,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
printer paper,3,30.36,Austin,F,37,oh@ocdumvi.mq,4,2015-04-18T03:33:09.638Z,Online,False
notepad,1,19.36,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
printer paper,3,36.08,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
envelopes,8,24.91,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
backpack,4,114.42,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
pens,1,9.44,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
notepad,3,11.87,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
pens,3,72.88,Denver,F,48,jorcol@ir.se,4,2016-03-28T00:27:12.457Z,In store,False
binder,3,21.66,Denver,F,70,wuulabeb@patsef.vu,4,2017-07-13T07:13:43.675Z,In store,False
notepad,5,7.67,Denver,F,70,wuulabeb@patsef.vu,4,2017-07-13T07:13:43.675Z,In store,False
envelopes,1,13.91,Denver,F,70,wuulabeb@patsef.vu,4,2017-07-13T07:13:43.675Z,In store,False
binder,3,22.16,Seattle,M,49,me@lih.st,4,2016-05-16T01:49:20.963Z,Phone,False
laptop,1,1588.12,Seattle,M,49,me@lih.st,4,2016-05-16T01:49:20.963Z,Phone,False
printer paper,6,26.15,Denver,M,60,du@il.ug,5,2017-02-06T11:18:38.404Z,In store,False
envelopes,2,15.74,Seattle,M,60,kege@nibomjo.gq,1,2016-07-10T09:35:56.729Z,In store,False
printer paper,3,40.38,Seattle,M,60,kege@nibomjo.gq,1,2016-07-10T09:35:56.729Z,In store,False
backpack,5,46.9,Seattle,M,60,kege@nibomjo.gq,1,2016-07-10T09:35:56.729Z,In store,False
laptop,5,440.97,Seattle,M,60,kege@nibomjo.gq,1,2016-07-10T09:35:56.729Z,In store,False
notepad,3,5.91,Seattle,M,60,kege@nibomjo.gq,1,2016-07-10T09:35:56.729Z,In store,False
backpack,3,41.78,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
printer paper,1,38.93,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
pens,2,70.71,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
envelopes,6,23.63,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
notepad,1,5.77,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
binder,2,17.4,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
notepad,5,9.99,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
envelopes,2,13.32,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
notepad,1,10.02,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
pens,2,52.35,Denver,F,54,civma@rozfon.tr,5,2017-09-14T10:52:42.206Z,In store,False
binder,4,11.88,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
envelopes,2,8.18,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
backpack,4,117.64,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
notepad,1,36.28,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
pens,2,36.69,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
pens,5,40.89,San Diego,F,33,ugmu@bekuba.tg,5,2015-11-08T06:59:18.442Z,In store,False
pens,4,59.55,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
notepad,4,34.83,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
envelopes,3,17.31,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
pens,2,18.22,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
notepad,3,31.88,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
binder,5,17.34,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
notepad,3,36.18,Denver,M,66,henbaw@dasekoh.bf,4,2015-03-30T06:59:05.365Z,Online,False
pens,4,72.32,Seattle,F,26,kupeen@gareha.ne,5,2016-05-16T03:43:15.808Z,In store,True
laptop,1,796.74,Seattle,F,26,kupeen@gareha.ne,5,2016-05-16T03:43:15.808Z,In store,True
notepad,4,14.38,Seattle,F,26,kupeen@gareha.ne,5,2016-05-16T03:43:15.808Z,In store,True
backpack,5,158.88,Seattle,F,26,kupeen@gareha.ne,5,2016-05-16T03:43:15.808Z,In store,True
notepad,2,6.96,Seattle,F,26,kupeen@gareha.ne,5,2016-05-16T03:43:15.808Z,In store,True
notepad,5,19.04,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
pens,4,69.63,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
binder,10,15.54,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
printer paper,2,19.72,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
envelopes,8,22.3,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
notepad,3,30.1,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
binder,9,29.75,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
notepad,1,37.43,New York,F,57,cuwoik@luvgu.tc,5,2016-10-19T19:12:39.499Z,In store,False
backpack,1,66.04,Austin,F,64,mucloji@popitdib.fi,4,2013-10-19T18:39:56.083Z,Online,False
printer paper,4,35.46,Austin,F,64,mucloji@popitdib.fi,4,2013-10-19T18:39:56.083Z,Online,False
binder,5,21.2,Austin,F,64,mucloji@popitdib.fi,4,2013-10-19T18:39:56.083Z,Online,False
notepad,2,5.12,Austin,F,64,mucloji@popitdib.fi,4,2013-10-19T18:39:56.083Z,Online,False
notepad,2,39.91,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
notepad,3,27.87,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
binder,4,13.54,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
envelopes,9,5.43,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
printer paper,9,16.15,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
pens,5,40.01,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
envelopes,6,13.37,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
laptop,4,1597.31,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
notepad,4,30.99,Denver,F,59,veb@molog.eu,3,2013-09-30T15:18:53.756Z,Online,False
binder,1,10.48,London,M,70,nupettum@dovloc.id,4,2016-04-27T08:09:58.703Z,In store,False
backpack,5,137.1,London,M,70,nupettum@dovloc.id,4,2016-04-27T08:09:58.703Z,In store,False
notepad,2,17.4,London,M,70,nupettum@dovloc.id,4,2016-04-27T08:09:58.703Z,In store,False
envelopes,3,17.89,London,M,70,nupettum@dovloc.id,4,2016-04-27T08:09:58.703Z,In store,False
binder,7,23.17,London,M,70,nupettum@dovloc.id,4,2016-04-27T08:09:58.703Z,In store,False
